datetime,open,close,high,low,volume,成交额,均价
2025-12-19 14:44:00,0.0,1411.84,1412.25,1411.84,85,12002463.0,1407.918
2025-12-19 14:45:00,0.0,1411.01,1411.84,1411.0,46,6492913.0,1407.925
2025-12-19 14:46:00,0.0,1411.1,1411.4,1411.0,60,8439060.0,1407.933
2025-12-19 14:47:00,0.0,1411.38,1411.5,1411.1,123,17359680.0,1407.95
2025-12-19 14:48:00,0.0,1411.01,1411.38,1411.0,63,8890294.0,1407.959
2025-12-19 14:49:00,0.0,1411.36,1411.37,1411.0,127,17935238.0,1407.975
2025-12-19 14:50:00,0.0,1411.6,1411.6,1411.37,101,14185279.0,1407.99
2025-12-19 14:51:00,0.0,1411.51,1411.61,1411.39,83,11715644.0,1408.002
2025-12-19 14:52:00,0.0,1411.87,1411.93,1411.45,176,24845381.0,1408.028
2025-12-19 14:53:00,0.0,1412.07,1412.2,1411.78,142,20050834.0,1408.052
2025-12-19 14:54:00,0.0,1411.79,1412.07,1411.68,145,20473190.0,1408.074
2025-12-19 14:55:00,0.0,1411.14,1411.92,1411.01,129,18208882.0,1408.092
2025-12-19 14:56:00,0.0,1410.87,1411.56,1410.87,247,34868122.0,1408.122
2025-12-19 14:57:00,0.0,1411.67,1411.69,1410.92,167,23572217.0,1408.144
2025-12-19 14:58:00,0.0,1411.67,1411.67,1411.67,0,0.0,1408.144
2025-12-19 14:59:00,0.0,1411.67,1411.67,1411.67,0,0.0,1408.144
2025-12-19 15:00:00,0.0,1410.0,1410.0,1410.0,1208,170356200.0,1408.229
2025-12-22 09:30:00,0.0,1410.0,1410.0,1410.0,264,37224000.0,1410.0
2025-12-22 09:31:00,0.0,1409.87,1410.0,1407.18,419,59051377.0,1409.596
2025-12-22 09:32:00,0.0,1410.0,1411.9,1408.02,305,42982574.0,1409.65
2025-12-22 09:33:00,0.0,1409.04,1411.99,1409.04,190,26800302.0,1409.794
2025-12-22 09:34:00,0.0,1408.02,1410.1,1408.02,197,27699328.0,1409.669
2025-12-22 09:35:00,0.0,1408.38,1409.0,1407.93,199,28025011.0,1409.495
2025-12-22 09:36:00,0.0,1407.58,1409.0,1407.58,174,24501855.0,1409.361
2025-12-22 09:37:00,0.0,1408.02,1408.02,1406.58,256,36023819.0,1409.083
2025-12-22 09:38:00,0.0,1409.5,1409.5,1407.99,238,33527429.0,1409.044
2025-12-22 09:39:00,0.0,1411.61,1411.83,1409.49,275,38785779.0,1409.191
2025-12-22 09:40:00,0.0,1412.0,1412.56,1411.02,246,34731417.0,1409.427
2025-12-22 09:41:00,0.0,1411.7,1412.0,1411.7,228,32191026.0,1409.615
2025-12-22 09:42:00,0.0,1412.78,1413.0,1411.71,258,36454429.0,1409.837
2025-12-22 09:43:00,0.0,1412.65,1412.78,1412.21,144,20339152.0,1409.948
2025-12-22 09:44:00,0.0,1414.0,1414.0,1412.32,292,41258404.0,1410.187
2025-12-22 09:45:00,0.0,1413.42,1414.14,1413.42,179,25306585.0,1410.353
2025-12-22 09:46:00,0.0,1412.12,1413.49,1412.12,162,22892187.0,1410.463
2025-12-22 09:47:00,0.0,1411.69,1412.31,1411.69,135,19048958.0,1410.516
2025-12-22 09:48:00,0.0,1411.11,1411.74,1411.04,74,10444355.0,1410.531
2025-12-22 09:49:00,0.0,1411.9,1411.9,1411.24,104,14680473.0,1410.556
2025-12-22 09:50:00,0.0,1410.0,1411.95,1410.0,218,30759125.0,1410.576
2025-12-22 09:51:00,0.0,1409.02,1410.01,1409.0,105,14797653.0,1410.547
2025-12-22 09:52:00,0.0,1409.0,1409.03,1408.9,86,12117329.0,1410.519
2025-12-22 09:53:00,0.0,1408.13,1409.04,1408.12,134,18876614.0,1410.469
2025-12-22 09:54:00,0.0,1408.2,1408.77,1408.04,86,12110689.0,1410.43
2025-12-22 09:55:00,0.0,1408.12,1408.84,1408.12,168,23658358.0,1410.359
2025-12-22 09:56:00,0.0,1409.03,1409.03,1408.0,134,18888289.0,1410.312
2025-12-22 09:57:00,0.0,1409.78,1410.84,1408.81,137,19317932.0,1410.306
2025-12-22 09:58:00,0.0,1410.71,1410.82,1409.78,105,14806899.0,1410.303
2025-12-22 09:59:00,0.0,1410.25,1410.81,1410.02,96,13538786.0,1410.303
2025-12-22 10:00:00,0.0,1410.35,1411.66,1410.25,99,13966171.0,1410.31
2025-12-22 10:01:00,0.0,1410.36,1410.39,1409.0,163,22984996.0,1410.305
2025-12-22 10:02:00,0.0,1411.0,1411.25,1410.02,109,15377950.0,1410.315
2025-12-22 10:03:00,0.0,1410.51,1411.3,1410.51,123,17356228.0,1410.33
2025-12-22 10:04:00,0.0,1410.95,1410.97,1410.02,47,6630164.0,1410.333
2025-12-22 10:05:00,0.0,1410.7,1410.92,1410.4,60,8464719.0,1410.337
2025-12-22 10:06:00,0.0,1410.9,1410.94,1410.0,42,5925691.0,1410.338
2025-12-22 10:07:00,0.0,1410.12,1411.03,1410.12,123,17353376.0,1410.348
2025-12-22 10:08:00,0.0,1410.91,1410.91,1410.1,114,16080655.0,1410.352
2025-12-22 10:09:00,0.0,1410.41,1410.98,1410.1,43,6064446.0,1410.352
2025-12-22 10:10:00,0.0,1410.3,1410.9,1410.11,48,6770292.0,1410.353
2025-12-22 10:11:00,0.0,1410.87,1410.91,1410.15,38,5368427.0,1410.354
2025-12-22 10:12:00,0.0,1410.5,1411.0,1410.49,192,27083843.0,1410.361
2025-12-22 10:13:00,0.0,1410.11,1411.0,1410.1,157,22144472.0,1410.364
2025-12-22 10:14:00,0.0,1411.0,1411.0,1410.12,42,5924507.0,1410.365
